Model,Feature,Importance,Rank
Gradient Boosting Reference,City_Salida,0.0,133
Gradient Boosting Reference,City_Salinas,0.0,134
Gradient Boosting Reference,City_Salton City,0.0,135
Gradient Boosting Reference,City_Salton Sea Beach,0.0,136
Gradient Boosting Reference,City_San Andreas,0.0,137
Gradient Boosting Reference,City_San Anselmo,0.0,138
Gradient Boosting Reference,City_San Bernardino,0.0,139
Gradient Boosting Reference,City_San Bruno,0.0,140
Gradient Boosting Reference,City_San Carlos,0.0,141
Gradient Boosting Reference,City_Pine Mountain Club,0.0,142
Gradient Boosting Reference,City_Pico Rivera,0.0,143
Gradient Boosting Reference,City_Piedmont,0.0,144
Gradient Boosting Reference,City_Nice,0.0,145
Gradient Boosting Reference,City_National City,0.0,146
Gradient Boosting Reference,City_Navarro,0.0,147
Gradient Boosting Reference,City_Needles,0.0,148
Gradient Boosting Reference,City_Nelson,0.0,149
Gradient Boosting Reference,City_New Cuyama,0.0,150
Gradient Boosting Reference,City_Newark,0.0,151
Gradient Boosting Reference,City_Newberry Springs,0.0,152
Gradient Boosting Reference,City_Newbury Park,0.0,153
Gradient Boosting Reference,City_Newhall,0.0,154
Gradient Boosting Reference,City_Newman,0.0,155
Gradient Boosting Reference,City_Newport Beach,0.0,156
Gradient Boosting Reference,City_Newport Coast,0.0,157
Gradient Boosting Reference,City_Nipomo,0.0,158
Gradient Boosting Reference,City_Myers Flat,0.0,159
Gradient Boosting Reference,City_Norco,0.0,160
Gradient Boosting Reference,City_North Edwards,0.0,161
Gradient Boosting Reference,City_North Fork,0.0,162
Gradient Boosting Reference,City_North Highlands,0.0,163
Gradient Boosting Reference,City_North Hills,0.0,164
Gradient Boosting Reference,City_North Hollywood,0.0,165
Gradient Boosting Reference,City_North Palm Springs,0.0,166
Gradient Boosting Reference,City_North Richmond,0.0,167
Gradient Boosting Reference,City_North San Juan,0.0,168
Gradient Boosting Reference,City_North Tustin,0.0,169
Gradient Boosting Reference,City_Northridge,0.0,170
Gradient Boosting Reference,City_Norwalk,0.0,171
Gradient Boosting Reference,City_Napa,0.0,172
Gradient Boosting Reference,City_Murrieta,0.0,173
Gradient Boosting Reference,City_Nuevo,0.0,174
Gradient Boosting Reference,City_Moraga,0.0,175
Gradient Boosting Reference,City_Monrovia,0.0,176
Gradient Boosting Reference,City_Montara,0.0,177
Gradient Boosting Reference,City_Montclair,0.0,178
Gradient Boosting Reference,City_Monte Rio,0.0,179
Gradient Boosting Reference,City_Monte Sereno,0.0,180
Gradient Boosting Reference,City_Montebello,0.0,181
Gradient Boosting Reference,City_Montecito,0.0,182
Gradient Boosting Reference,City_Montecito Heights,0.0,183
Gradient Boosting Reference,City_Monterey,0.0,184
Gradient Boosting Reference,City_Monterey Park,0.0,185
Gradient Boosting Reference,City_Montrose,0.0,186
Gradient Boosting Reference,City_Moorpark,0.0,187
Gradient Boosting Reference,City_Moreno Valley,0.0,188
Gradient Boosting Reference,City_Murphys,0.0,189
Gradient Boosting Reference,City_Morgan Hill,0.0,190
Gradient Boosting Reference,City_Morongo Valley,0.0,191
Gradient Boosting Reference,City_Morro Bay,0.0,192
Gradient Boosting Reference,City_Moss Beach,0.0,193
Gradient Boosting Reference,City_Moss Landing,0.0,194
Gradient Boosting Reference,City_Mount Hermon,0.0,195
Gradient Boosting Reference,City_Mount Shasta,0.0,196
Gradient Boosting Reference,City_Mountain Center,0.0,197
Gradient Boosting Reference,City_Mountain House,0.0,198
Gradient Boosting Reference,City_Mountain Mesa,0.0,199
Gradient Boosting Reference,City_Mountain View,0.0,200
Gradient Boosting Reference,City_Mt Baldy,0.0,201
Gradient Boosting Reference,City_Novato,0.0,202
Gradient Boosting Reference,City_O'Neals,0.0,203
Gradient Boosting Reference,City_Santa Margarita,0.0,204
Gradient Boosting Reference,City_Paramount,0.0,205
Gradient Boosting Reference,City_Palermo,0.0,206
Gradient Boosting Reference,City_Palm Desert,0.0,207
Gradient Boosting Reference,City_Palm Springs,0.0,208
Gradient Boosting Reference,City_Palmdale,0.0,209
Gradient Boosting Reference,City_Palo Alto,0.0,210
Gradient Boosting Reference,City_Palo Cedro,0.0,211
Gradient Boosting Reference,City_Palomar Mountain,0.0,212
Gradient Boosting Reference,City_Palos Verdes Estates,0.0,213
Gradient Boosting Reference,City_Palos Verdes Peninsula,0.0,214
Gradient Boosting Reference,City_Panorama City,0.0,215
Gradient Boosting Reference,City_Paradise,0.0,216
Gradient Boosting Reference,City_Paradise Hills,0.0,217
Gradient Boosting Reference,City_Parlier,0.0,218
Gradient Boosting Reference,City_Pacoima,0.0,219
Gradient Boosting Reference,City_Pasadena,0.0,220
Gradient Boosting Reference,City_Paso Robles,0.0,221
Gradient Boosting Reference,City_Patterson,0.0,222
Gradient Boosting Reference,City_Pauma Valley,0.0,223
Gradient Boosting Reference,City_Pearblossom,0.0,224
Gradient Boosting Reference,City_Pebble Beach,0.0,225
Gradient Boosting Reference,City_Perris,0.0,226
Gradient Boosting Reference,City_Pescadero,0.0,227
Gradient Boosting Reference,City_Petaluma,0.0,228
Gradient Boosting Reference,City_Phelan,0.0,229
Gradient Boosting Reference,City_Phillips Ranch,0.0,230
Gradient Boosting Reference,City_Philo,0.0,231
Gradient Boosting Reference,City_Paicines,0.0,232
Gradient Boosting Reference,City_Pacifica,0.0,233
Gradient Boosting Reference,City_Oak Glen,0.0,234
Gradient Boosting Reference,City_Ontario,0.0,235
Gradient Boosting Reference,City_Oak Hills,0.0,236
Gradient Boosting Reference,City_Oak Park,0.0,237
Gradient Boosting Reference,City_Oak View,0.0,238
Gradient Boosting Reference,City_Oakdale,0.0,239
Gradient Boosting Reference,City_Oakhurst,0.0,240
Gradient Boosting Reference,City_Oakland,0.0,241
Gradient Boosting Reference,City_Oakley,0.0,242
Gradient Boosting Reference,City_Oceano,0.0,243
Gradient Boosting Reference,City_Oceanside,0.0,244
Gradient Boosting Reference,City_Ojai,0.0,245
Gradient Boosting Reference,City_Olancha,0.0,246
Gradient Boosting Reference,City_Olivehurst,0.0,247
Gradient Boosting Reference,City_Orange,0.0,248
Gradient Boosting Reference,City_Pacific Palisades,0.0,249
Gradient Boosting Reference,City_Orangevale,0.0,250
Gradient Boosting Reference,City_Orinda,0.0,251
Gradient Boosting Reference,City_Orland,0.0,252
Gradient Boosting Reference,City_Oro Grande,0.0,253
Gradient Boosting Reference,City_Orosi,0.0,254
Gradient Boosting Reference,City_Oroville,0.0,255
Gradient Boosting Reference,City_Ortega Mountain,0.0,256
Gradient Boosting Reference,City_Otay Mesa,0.0,257
Gradient Boosting Reference,City_Other,0.0,258
Gradient Boosting Reference,City_Oxnard,0.0,259
Gradient Boosting Reference,City_Pacheco,0.0,260
Gradient Boosting Reference,City_Pacific Grove,0.0,261
Gradient Boosting Reference,City_Santa Fe Springs,0.0,262
Gradient Boosting Reference,City_Santa Monica,0.0,263
Gradient Boosting Reference,City_Santa Maria,0.0,264
Gradient Boosting Reference,City_Modjeska Canyon,0.0,265
Gradient Boosting Reference,City_Wilton,0.0,266
Gradient Boosting Reference,City_Winchester,0.0,267
Gradient Boosting Reference,City_Windsor Hills,0.0,268
Gradient Boosting Reference,City_Winnetka,0.0,269
Gradient Boosting Reference,City_Winton,0.0,270
Gradient Boosting Reference,City_Wishon,0.0,271
Gradient Boosting Reference,City_Wofford Heights,0.0,272
Gradient Boosting Reference,City_Woodbridge,0.0,273
Gradient Boosting Reference,City_Woodcrest,0.0,274
Gradient Boosting Reference,City_Woodland,0.0,275
Gradient Boosting Reference,City_Woodland Hills,0.0,276
Gradient Boosting Reference,City_Woodside,0.0,277
Gradient Boosting Reference,City_Wrightwood,0.0,278
Gradient Boosting Reference,City_Yermo,0.0,279
Gradient Boosting Reference,City_Yorba Linda,0.0,280
Gradient Boosting Reference,City_Yosemite,0.0,281
Gradient Boosting Reference,City_Yreka,0.0,282
Gradient Boosting Reference,City_Yuba City,0.0,283
Gradient Boosting Reference,City_Yucaipa,0.0,284
Gradient Boosting Reference,City_Yucca Valley,0.0,285
Gradient Boosting Reference,CountyOrParish_Amador,0.0,286
Gradient Boosting Reference,CountyOrParish_Butte,0.0,287
Gradient Boosting Reference,CountyOrParish_Calaveras,0.0,288
Gradient Boosting Reference,CountyOrParish_Colusa,0.0,289
Gradient Boosting Reference,CountyOrParish_Contra Costa,0.0,290
Gradient Boosting Reference,CountyOrParish_El Dorado,0.0,291
Gradient Boosting Reference,CountyOrParish_Foreign Country,0.0,292
Gradient Boosting Reference,City_Wilmington,0.0,293
Gradient Boosting Reference,City_Willows,0.0,294
Gradient Boosting Reference,City_Willits,0.0,295
Gradient Boosting Reference,City_West Hollywood,0.0,296
Gradient Boosting Reference,City_Walnut,0.0,297
Gradient Boosting Reference,City_Walnut Creek,0.0,298
Gradient Boosting Reference,City_Walnut Grove,0.0,299
Gradient Boosting Reference,City_Warner Springs,0.0,300
Gradient Boosting Reference,City_Wasco,0.0,301
Gradient Boosting Reference,City_Waterford,0.0,302
Gradient Boosting Reference,City_Watsonville,0.0,303
Gradient Boosting Reference,City_Weaverville,0.0,304
Gradient Boosting Reference,City_Weed,0.0,305
Gradient Boosting Reference,City_Weldon,0.0,306
Gradient Boosting Reference,City_West Covina,0.0,307
Gradient Boosting Reference,City_West Hills,0.0,308
Gradient Boosting Reference,City_West Los Angeles,0.0,309
Gradient Boosting Reference,City_Williams,0.0,310
Gradient Boosting Reference,City_West Point,0.0,311
Gradient Boosting Reference,City_West Sacramento,0.0,312
Gradient Boosting Reference,City_West Toluca Lake,0.0,313
Gradient Boosting Reference,City_Westchester,0.0,314
Gradient Boosting Reference,City_Westlake Village,0.0,315
Gradient Boosting Reference,City_Westminster,0.0,316
Gradient Boosting Reference,City_Westport,0.0,317
Gradient Boosting Reference,City_Westwood,0.0,318
Gradient Boosting Reference,City_Wheatland,0.0,319
Gradient Boosting Reference,City_Whitewater,0.0,320
Gradient Boosting Reference,City_Whittier,0.0,321
Gradient Boosting Reference,City_Wildomar,0.0,322
Gradient Boosting Reference,CountyOrParish_Fresno,0.0,323
Gradient Boosting Reference,CountyOrParish_Glenn,0.0,324
Gradient Boosting Reference,CountyOrParish_Humboldt,0.0,325
Gradient Boosting Reference,CountyOrParish_Tuolumne,0.0,326
Gradient Boosting Reference,CountyOrParish_Santa Barbara,0.0,327
Gradient Boosting Reference,CountyOrParish_Santa Clara,0.0,328
Gradient Boosting Reference,CountyOrParish_Santa Cruz,0.0,329
Gradient Boosting Reference,CountyOrParish_Shasta,0.0,330
Gradient Boosting Reference,CountyOrParish_Siskiyou,0.0,331
Gradient Boosting Reference,CountyOrParish_Solano,0.0,332
Gradient Boosting Reference,CountyOrParish_Sonoma,0.0,333
Gradient Boosting Reference,CountyOrParish_Stanislaus,0.0,334
Gradient Boosting Reference,CountyOrParish_Sutter,0.0,335
Gradient Boosting Reference,CountyOrParish_Tehama,0.0,336
Gradient Boosting Reference,CountyOrParish_Trinity,0.0,337
Gradient Boosting Reference,CountyOrParish_Tulare,0.0,338
Gradient Boosting Reference,CountyOrParish_Ventura,0.0,339
Gradient Boosting Reference,CountyOrParish_San Luis Obispo,0.0,340
Gradient Boosting Reference,CountyOrParish_Yolo,0.0,341
Gradient Boosting Reference,CountyOrParish_Yuba,0.0,342
Gradient Boosting Reference,City_Ahwahnee,0.0,343
Gradient Boosting Reference,City_Aguanga,0.0,344
Gradient Boosting Reference,City_Agua Dulce,0.0,345
Gradient Boosting Reference,City_Agoura Hills,0.0,346
Gradient Boosting Reference,City_Adelanto,0.0,347
Gradient Boosting Reference,City_Acton,0.0,348
Gradient Boosting Reference,City_Acampo,0.0,349
Gradient Boosting Reference,BedroomsTotal,0.0,350
Gradient Boosting Reference,IsNewProperty,0.0,351
Gradient Boosting Reference,IsRecentProperty,0.0,352
Gradient Boosting Reference,CountyOrParish_San Mateo,0.0,353
Gradient Boosting Reference,CountyOrParish_San Joaquin,0.0,354
Gradient Boosting Reference,CountyOrParish_Imperial,0.0,355
Gradient Boosting Reference,CountyOrParish_Mono,0.0,356
Gradient Boosting Reference,CountyOrParish_Inyo,0.0,357
Gradient Boosting Reference,CountyOrParish_Kern,0.0,358
Gradient Boosting Reference,CountyOrParish_Kings,0.0,359
Gradient Boosting Reference,CountyOrParish_Lake,0.0,360
Gradient Boosting Reference,CountyOrParish_Lassen,0.0,361
Gradient Boosting Reference,CountyOrParish_Los Angeles,0.0,362
Gradient Boosting Reference,CountyOrParish_Madera,0.0,363
Gradient Boosting Reference,CountyOrParish_Marin,0.0,364
Gradient Boosting Reference,CountyOrParish_Mariposa,0.0,365
Gradient Boosting Reference,CountyOrParish_Mendocino,0.0,366
Gradient Boosting Reference,CountyOrParish_Merced,0.0,367
Gradient Boosting Reference,CountyOrParish_Modoc,0.0,368
Gradient Boosting Reference,CountyOrParish_Monterey,0.0,369
Gradient Boosting Reference,CountyOrParish_San Francisco,0.0,370
Gradient Boosting Reference,CountyOrParish_Napa,0.0,371
Gradient Boosting Reference,CountyOrParish_Nevada,0.0,372
Gradient Boosting Reference,CountyOrParish_Orange,0.0,373
Gradient Boosting Reference,CountyOrParish_Other,0.0,374
Gradient Boosting Reference,CountyOrParish_Other State,0.0,375
Gradient Boosting Reference,CountyOrParish_Placer,0.0,376
Gradient Boosting Reference,CountyOrParish_Plumas,0.0,377
Gradient Boosting Reference,City_Alameda,0.0,378
Gradient Boosting Reference,CountyOrParish_Sacramento,0.0,379
Gradient Boosting Reference,CountyOrParish_San Benito,0.0,380
Gradient Boosting Reference,CountyOrParish_San Bernardino,0.0,381
Gradient Boosting Reference,CountyOrParish_San Diego,0.0,382
Gradient Boosting Reference,City_Vista,0.0,383
Gradient Boosting Reference,City_Visalia,0.0,384
Gradient Boosting Reference,City_Vina,0.0,385
Gradient Boosting Reference,City_South Pasadena,0.0,386
Gradient Boosting Reference,City_Solana Beach,0.0,387
Gradient Boosting Reference,City_Soledad,0.0,388
Gradient Boosting Reference,City_Solvang,0.0,389
Gradient Boosting Reference,City_Somis,0.0,390
Gradient Boosting Reference,City_Sonoma,0.0,391
Gradient Boosting Reference,City_Sonora,0.0,392
Gradient Boosting Reference,City_Soquel,0.0,393
Gradient Boosting Reference,City_Soulsbyville,0.0,394
Gradient Boosting Reference,City_South Dos Palos,0.0,395
Gradient Boosting Reference,City_South El Monte,0.0,396
Gradient Boosting Reference,City_South Gate,0.0,397
Gradient Boosting Reference,City_South Lake Tahoe,0.0,398
Gradient Boosting Reference,City_South San Francisco,0.0,399
Gradient Boosting Reference,City_Sky Valley,0.0,400
Gradient Boosting Reference,City_Spreckels,0.0,401
Gradient Boosting Reference,City_Spring Valley,0.0,402
Gradient Boosting Reference,City_Springville,0.0,403
Gradient Boosting Reference,City_Squaw Valley,0.0,404
Gradient Boosting Reference,City_Stanton,0.0,405
Gradient Boosting Reference,City_Stevenson Ranch,0.0,406
Gradient Boosting Reference,City_Stevinson,0.0,407
Gradient Boosting Reference,City_Stockton,0.0,408
Gradient Boosting Reference,City_Stonyford,0.0,409
Gradient Boosting Reference,City_Strawberry,0.0,410
Gradient Boosting Reference,City_Studio City,0.0,411
Gradient Boosting Reference,City_Sugarloaf,0.0,412
Gradient Boosting Reference,City_Soda Springs,0.0,413
Gradient Boosting Reference,City_Simi Valley,0.0,414
Gradient Boosting Reference,City_Summerland,0.0,415
Gradient Boosting Reference,City_Seaside,0.0,416
Gradient Boosting Reference,City_Santa Nella,0.0,417
Gradient Boosting Reference,City_Santa Paula,0.0,418
Gradient Boosting Reference,City_Santa Rosa,0.0,419
Gradient Boosting Reference,City_Santa Ynez,0.0,420
Gradient Boosting Reference,City_Santa Ysabel,0.0,421
Gradient Boosting Reference,City_Santee,0.0,422
Gradient Boosting Reference,City_Saratoga,0.0,423
Gradient Boosting Reference,City_Saugus,0.0,424
Gradient Boosting Reference,City_Sausalito,0.0,425
Gradient Boosting Reference,City_Scotts Valley,0.0,426
Gradient Boosting Reference,City_Scripps Miramar,0.0,427
Gradient Boosting Reference,City_Seal Beach,0.0,428
Gradient Boosting Reference,City_Sebastopol,0.0,429
Gradient Boosting Reference,City_Silverado Canyon,0.0,430
Gradient Boosting Reference,City_Selma,0.0,431
Gradient Boosting Reference,City_Shadow Hills,0.0,432
Gradient Boosting Reference,City_Shafter,0.0,433
Gradient Boosting Reference,City_Shandon,0.0,434
Gradient Boosting Reference,City_Shasta Lake,0.0,435
Gradient Boosting Reference,City_Sherman Oaks,0.0,436
Gradient Boosting Reference,City_Sherwood Forest,0.0,437
Gradient Boosting Reference,City_Shingletown,0.0,438
Gradient Boosting Reference,City_Sierra Madre,0.0,439
Gradient Boosting Reference,City_Signal Hill,0.0,440
Gradient Boosting Reference,City_Silver Lake,0.0,441
Gradient Boosting Reference,City_Silverado,0.0,442
Gradient Boosting Reference,City_Suisun City,0.0,443
Gradient Boosting Reference,City_Sun City,0.0,444
Gradient Boosting Reference,City_Villa Park,0.0,445
Gradient Boosting Reference,City_Upper Lake,0.0,446
Gradient Boosting Reference,City_Tuolumne,0.0,447
Gradient Boosting Reference,City_Turlock,0.0,448
Gradient Boosting Reference,City_Tustin,0.0,449
Gradient Boosting Reference,City_Twain Harte,0.0,450
Gradient Boosting Reference,City_Twentynine Palms,0.0,451
Gradient Boosting Reference,City_Twin Peaks,0.0,452
Gradient Boosting Reference,City_Ukiah,0.0,453
Gradient Boosting Reference,City_Unincorporated,0.0,454
Gradient Boosting Reference,City_Union City,0.0,455
Gradient Boosting Reference,City_University City,0.0,456
Gradient Boosting Reference,City_Unknown,0.0,457
Gradient Boosting Reference,City_Upland,0.0,458
Gradient Boosting Reference,City_Vacaville,0.0,459
Gradient Boosting Reference,City_Tujunga,0.0,460
Gradient Boosting Reference,City_Val Verde,0.0,461
Gradient Boosting Reference,City_Valencia,0.0,462
Gradient Boosting Reference,City_Vallejo,0.0,463
Gradient Boosting Reference,City_Valley Center,0.0,464
Gradient Boosting Reference,City_Valley Glen,0.0,465
Gradient Boosting Reference,City_Valley Springs,0.0,466
Gradient Boosting Reference,City_Valley Village,0.0,467
Gradient Boosting Reference,City_Van Nuys,0.0,468
Gradient Boosting Reference,City_Venice,0.0,469
Gradient Boosting Reference,City_Ventura,0.0,470
Gradient Boosting Reference,City_Alamo,0.0,471
Gradient Boosting Reference,City_View Park,0.0,472
Gradient Boosting Reference,City_Tulare,0.0,473
Gradient Boosting Reference,City_Trona,0.0,474
Gradient Boosting Reference,City_Sun Valley,0.0,475
Gradient Boosting Reference,City_Temple City,0.0,476
Gradient Boosting Reference,City_Sunland,0.0,477
Gradient Boosting Reference,City_Sunnyvale,0.0,478
Gradient Boosting Reference,City_Sunol,0.0,479
Gradient Boosting Reference,City_Sunset Beach,0.0,480
Gradient Boosting Reference,City_Surfside,0.0,481
Gradient Boosting Reference,City_Susanville,0.0,482
Gradient Boosting Reference,City_Sylmar,0.0,483
Gradient Boosting Reference,City_Taft,0.0,484
Gradient Boosting Reference,City_Tarzana,0.0,485
Gradient Boosting Reference,City_Tehachapi,0.0,486
Gradient Boosting Reference,City_Temecula,0.0,487
Gradient Boosting Reference,City_Temescal Valley,0.0,488
Gradient Boosting Reference,City_Templeton,0.0,489
Gradient Boosting Reference,City_Trinity Center,0.0,490
Gradient Boosting Reference,City_Terra Bella,0.0,491
Gradient Boosting Reference,City_Thermal,0.0,492
Gradient Boosting Reference,City_Thousand Oaks,0.0,493
Gradient Boosting Reference,City_Thousand Palms,0.0,494
Gradient Boosting Reference,City_Tierrasanta,0.0,495
Gradient Boosting Reference,City_Tollhouse,0.0,496
Gradient Boosting Reference,City_Toluca Lake,0.0,497
Gradient Boosting Reference,City_Topanga,0.0,498
Gradient Boosting Reference,City_Torrance,0.0,499
Gradient Boosting Reference,City_Trabuco Canyon,0.0,500
Gradient Boosting Reference,City_Tracy,0.0,501
Gradient Boosting Reference,City_Tres Pinos,0.0,502
Gradient Boosting Reference,City_Mojave,0.0,503
Gradient Boosting Reference,City_Modesto,0.0,504
Gradient Boosting Reference,City_Alpine,0.0,505
Gradient Boosting Reference,City_Daly City,0.0,506
Gradient Boosting Reference,City_Cold Springs,0.0,507
Gradient Boosting Reference,City_Colton,0.0,508
Gradient Boosting Reference,City_Columbia,0.0,509
Gradient Boosting Reference,City_Commerce,0.0,510
Gradient Boosting Reference,City_Compton,0.0,511
Gradient Boosting Reference,City_Concord,0.0,512
Gradient Boosting Reference,City_Copperopolis,0.0,513
